query_id,name,query_type,strategy,entity_filters,meta_filters,narrative_keywords,require_connected,output_mode,output_target,output_top_n,coverage_thresholds,diagnosis_rule,custom_fn,ground_truth,notes,expected_count
MH-08,"Trace the relationship path between a specific piece of equipment (e.g., hydraulic valve) and all recorded injury outcomes across all incidents.",Multi-hop,entity_filter,EQUIPMENT:hydraulic valve:INVOLVED,impact_type contains Injury,,,aggregate,INJURY_TYPE:RESULTED_IN,10,1:0,EXTRACTION_GAP,,,Incident found (604895) but GLiNER did not extract INJURY_TYPE — real extraction gap,
GL-01,What are the most significant safety risk clusters across TechnipFMC global operations?,Global,custom,,,,,,,10,,CLEAN,louvain_communities,,,
GL-02,Are there systemic patterns where the same type of equipment failure recurs across different geographic regions?,Global,custom,,,,,,,20,,ER_NEEDED,equipment_across_regions,,,
GL-03,How has the overall safety incident profile changed over the dataset time range? Are certain incident types increasing or decreasing?,Global,crosstab,,,,,crosstab,year:incident_type,,1:0,CLEAN,,,,
GL-04,"What entities serve as the most connected hubs in the knowledge graph, and what does their centrality reveal about systemic risk?",Global,custom,,,,,,,20,,CLEAN,hub_centrality,,,
CJ-01,Which incidents match the pattern of corrosion-induced equipment failure leading to fire?,Conjunctive,custom,,,,,,,10,,L2_REQUIRED,causal_chain_check,,,"Corrosion+fire intersection is genuinely sparse (5 records, 4 are 'line of fire' safety term not actual fire). See CJ-07 for corrosion effects analysis."
CJ-02,Find all high-severity incidents where a crane was involved AND a back injury was sustained AND the location was offshore.,Conjunctive,intersect,EQUIPMENT:crane:INVOLVED;BODY_PART:back:AFFECTED,work_process contains offshore;severity_bin >= 4,,,count_incidents,,10,0:0,EXTRACTION_GAP,,,1 narrative match (crane+back+offshore+sev4) but entity extraction missed it,
CJ-03,"Identify incidents where maintenance procedures failed, involving pipe equipment, resulting in environmental impact at locations in the Middle East.",Conjunctive,intersect,EQUIPMENT:pipe:INVOLVED;LOCATION:middle east|saudi arabia|kuwait|bahrain|uae|united arab emirates|qatar|oman|iraq|iran:OCCURRED_AT,impact_type contains environment,"maintenance,fail",,count_incidents,,10,0:0,KNOWN_SPARSE,,,4-way conjunction too specific for 20K records — 0 results is the confirmed correct answer,
CJ-04,Which equipment types have caused both injuries AND near-misses at the same location within the same year?,Conjunctive,custom,,,,,,,10,,CLEAN,dual_risk_detection,,,
CJ-05,Find the causal chain pattern: procedural non-compliance -> dropped object -> head/hand injury. How many incidents match?,Conjunctive,custom,,,,,count_incidents,,10,99999:1,L2_REQUIRED,procedural_dropped_injury,,,
CJ-06,Which incidents involve the co-occurrence of slip/fall events AND vehicle/transportation equipment at construction sites?,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:fall|slip|trip:CATEGORIZED_AS;EQUIPMENT:truck|vehicle|van|car :INVOLVED,work_process contains construction,,,count_incidents,,10,1:0,auto,,,,147
CJ-07,What are the primary effects of corrosion on equipment and incidents in the dataset?,Conjunctive,custom,,,,,,,10,,L2_REQUIRED,corrosion_effects,,,Corrosion causal effects analysis via L2 edges
SC-01,"In incident #623703, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::623703:EQUIPMENT:INVOLVED,10,2:1,EXTRACTION_GAP,,forklift|mirror|manifold,mirror and manifold appear in narrative but GLiNER did not extract them as EQUIPMENT,
SC-02,"In incident #570187, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::570187:EQUIPMENT:INVOLVED,10,2:1,auto,,connector link|feeder breaker|feeder box,Equipment extraction check,
SC-03,"In incident #602346, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::602346:EQUIPMENT:INVOLVED,10,1:1,auto,,forklift|pgb,Equipment extraction check,
SC-04,"In incident #14338, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::14338:EQUIPMENT:INVOLVED,10,1:1,auto,,press,Equipment extraction check,
SC-05,"In incident #500389, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::500389:EQUIPMENT:INVOLVED,10,3:1,auto,,marker buoys|football float|odom weight|chain|tms,Equipment extraction check,
SC-06,"In incident #8712, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::8712:EQUIPMENT:INVOLVED,10,1:1,auto,,ceu 25 barrier,Equipment extraction check,
SC-07,"In incident #511771, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::511771:EQUIPMENT:INVOLVED,10,1:1,auto,,wire rope sling|crane hook,Equipment extraction check,
SC-08,"In incident #324, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::324:EQUIPMENT:INVOLVED,10,1:1,auto,,20t forklift,Equipment extraction check,
SC-09,"In incident #18312, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::18312:EQUIPMENT:INVOLVED,10,1:1,auto,,crane|plastic sun visor,Equipment extraction check,
SC-04b,"In incident #14338, which body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::14338:BODY_PART:AFFECTED,10,1:1,auto,,lower back,Body part extraction check,
SC-06b,"In incident #8712, which body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::8712:BODY_PART:AFFECTED,10,1:1,auto,,head|forehead|face,Body part extraction check,
SC-07b,"In incident #511771, which body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::511771:BODY_PART:AFFECTED,10,1:1,auto,,lower lip,Body part extraction check,
SC-09b,"In incident #18312, which body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::18312:BODY_PART:AFFECTED,10,1:1,auto,,head,Body part extraction check,
IOGP-01,What injuries result from incidents involving moving vehicles and mobile equipment?,Aggregation,entity_filter,EQUIPMENT:forklift|truck|vehicle|van|car|mewp|loader|bulldozer|excavator|tractor:INVOLVED,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,10:1,ER_NEEDED,,,,
IOGP-02,How do dropped object incidents break down by severity over time?,Aggregation,narrative_filter,,,dropped object,,crosstab,severity_bin:year,,5:1,CLEAN,,,,
IOGP-03,How many incidents involve stored energy or snap-back hazards?,Single-hop,narrative_filter,,,"ANY:stored energy,snap.?back,spring energy,coiled,under pressure",,count_incidents,,10,5:1,CLEAN,,,Narrative keyword search for IOGP category 4 - dropped bare tension (muscle tension false positives),
IOGP-04,How many pressurized system incidents resulted in containment loss?,Multi-hop,intersect,EQUIPMENT:valve|pressure|cylinder|hose|pipeline|gas bottle:INVOLVED,impact_type contains environment,,,count_incidents,,10,3:1,ER_NEEDED,,,IOGP category 6 + environmental impact,
IOGP-05,Which electrical incidents had lockout/tagout failures?,Conjunctive,custom,,,,,,,10,1:1,auto,loto_failures_l2,,Uses FAILED_CONTROL edges from L2 to identify barrier failures in LOTO incidents,
IOGP-06,What body parts are affected in working-at-height incidents with fall protection gaps?,Multi-hop,intersect,EQUIPMENT:scaffold|harness|lanyard|guardrail|ladder:INVOLVED,,"ANY:fall,height,dropped",,aggregate,BODY_PART:AFFECTED,10,5:1,ER_NEEDED,,,IOGP category 3 - falls and dropped objects,
IOGP-07,What injuries result from mechanical lifting incidents with rigging failures?,Multi-hop,intersect,EQUIPMENT:crane|hoist|sling|rigging|shackle|winch:INVOLVED,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,ER_NEEDED,,,IOGP category 2 - mechanical lifting/hoisting,
IOGP-08,How many machinery and tool incidents resulted in hand or finger injuries?,Multi-hop,intersect,EQUIPMENT:grinder|saw|drill|\bpress\b|lathe|wrench|hammer:INVOLVED;BODY_PART:hand|finger|thumb:AFFECTED,,,,count_incidents,,10,3:1,ER_NEEDED,,,IOGP category 7 - machinery and tools - \bpress\b excludes pressure/compressor,
SH-07,What incidents involved ladders?,Single-hop,entity_filter,EQUIPMENT:ladder:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,157
SH-08,What incidents involved grinders?,Single-hop,entity_filter,EQUIPMENT:grinder:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,175
SH-09,What incidents involved hoses?,Single-hop,entity_filter,EQUIPMENT:hose:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,429
SH-10,What incidents involved pumps?,Single-hop,entity_filter,EQUIPMENT:pump:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,314
SH-11,What incidents involved ROVs?,Single-hop,entity_filter,EQUIPMENT:\brov\b:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,598
SH-12,What incidents involved excavators?,Single-hop,entity_filter,EQUIPMENT:excavator:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,201
SH-13,What incidents involved PPE (helmets/gloves/safety glasses)?,Single-hop,entity_filter,EQUIPMENT:ppe|helmet|gloves|safety glasses|goggles|hard hat:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,684
SH-14,What incidents involved slings?,Single-hop,entity_filter,EQUIPMENT:sling:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,265
SH-15,What incidents involved compressors?,Single-hop,entity_filter,EQUIPMENT:compressor:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,209
SH-16,What incidents involved winches?,Single-hop,entity_filter,EQUIPMENT:winch:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,278
SH-17,What body parts were affected in hose-related incidents?,Single-hop,entity_filter,EQUIPMENT:hose:INVOLVED,,,,aggregate,BODY_PART:AFFECTED,10,5:1,ER_NEEDED,,,,
SH-18,What injury types resulted from pump-related incidents?,Single-hop,entity_filter,EQUIPMENT:pump:INVOLVED,,,,aggregate,INJURY_TYPE:RESULTED_IN,10,5:1,ER_NEEDED,,,,
SH-19,Which organizations reported excavator-related incidents?,Single-hop,entity_filter,EQUIPMENT:excavator:INVOLVED,,,,aggregate,ORGANIZATION:REPORTED_BY,10,3:1,ER_NEEDED,,,,
SH-20,What incidents involved welding equipment?,Single-hop,entity_filter,EQUIPMENT:weld:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,261
AG-07,What are the most common body parts affected across all incidents?,Aggregation,entity_filter,,,,,aggregate,BODY_PART:AFFECTED,20,1:0,CLEAN,,,,
AG-08,What are the most common injury types across all incidents?,Aggregation,entity_filter,,,,,aggregate,INJURY_TYPE:RESULTED_IN,20,1:0,CLEAN,,,,
AG-09,Which organizations report the most incidents?,Aggregation,entity_filter,,,,,aggregate,ORGANIZATION:REPORTED_BY,20,1:0,CLEAN,,,,
AG-10,What is the annual trend of manual handling incidents?,Aggregation,entity_filter,ROOT_CAUSE_CATEGORY:manual handling:CATEGORIZED_AS,,,,count_by_year,,10,5:1,CLEAN,,,,760
AG-11,What root cause categories are most common in high-severity incidents?,Aggregation,meta_filter,,severity_bin >= 4,,,aggregate,ROOT_CAUSE_CATEGORY:CATEGORIZED_AS,10,3:1,CLEAN,,,,
AG-12,How do incidents break down by impact type over the years?,Aggregation,crosstab,,,,,crosstab,year:impact_type,,1:0,CLEAN,,,,
AG-13,What is the trend of fire/explosion incidents over time?,Aggregation,meta_filter,,impact_type contains Fire/Explosion,,,count_by_year,,10,3:1,CLEAN,,,,121
AG-14,Which cities have the highest incident counts?,Aggregation,entity_filter,,,,,aggregate,LOCATION[city]:OCCURRED_AT,20,1:0,CLEAN,,,,
AG-15,How do incidents distribute across work process categories?,Aggregation,entity_filter,,,,,aggregate,ROOT_CAUSE_CATEGORY:CATEGORIZED_AS,20,1:0,CLEAN,,,Shows full RCC distribution,
AG-16,What is the year-over-year trend of eye injuries?,Aggregation,entity_filter,BODY_PART:eye:AFFECTED,,,,count_by_year,,10,5:1,CLEAN,,,,492
MH-09,What eye injuries result from grinder incidents?,Multi-hop,intersect,EQUIPMENT:grinder:INVOLVED;BODY_PART:eye:AFFECTED,,,,count_incidents,,10,3:1,ER_NEEDED,,,,16
MH-10,What injuries occur in ladder incidents at construction sites?,Multi-hop,intersect,EQUIPMENT:ladder:INVOLVED,work_process contains construction,,,aggregate,INJURY_TYPE:RESULTED_IN,10,1:0,ER_NEEDED,,,,
MH-11,What equipment is involved in finger or thumb injuries?,Multi-hop,entity_filter,BODY_PART:finger|thumb:AFFECTED,,,,aggregate,EQUIPMENT:INVOLVED,10,10:1,ER_NEEDED,,,,
MH-12,Which countries have the most crane-related incidents?,Multi-hop,entity_filter,EQUIPMENT:crane|overhead crane|mobile crane|tower crane|gantry crane|pedestal crane:INVOLVED,,,,aggregate,LOCATION[country]:OCCURRED_AT,10,5:1,ER_NEEDED,,,,
MH-13,What incidents involve forklifts with foot or leg injuries?,Multi-hop,intersect,EQUIPMENT:forklift|flt:INVOLVED;BODY_PART:foot|toe|leg:AFFECTED,,,,count_incidents,,10,5:1,ER_NEEDED,,,,26
MH-14,What equipment is involved in fracture injuries?,Multi-hop,entity_filter,INJURY_TYPE:fracture:RESULTED_IN,,,,aggregate,EQUIPMENT:INVOLVED,10,5:1,ER_NEEDED,,,,
MH-15,Which body parts are affected in hammer-related incidents?,Multi-hop,entity_filter,EQUIPMENT:hammer:INVOLVED,,,,aggregate,BODY_PART:AFFECTED,10,3:1,ER_NEEDED,,,,
MH-16,What burn injuries are associated with welding operations?,Multi-hop,intersect,EQUIPMENT:weld:INVOLVED;INJURY_TYPE:burn:RESULTED_IN,,,,count_incidents,,10,1:0,ER_NEEDED,,,,
MH-17,What incidents involve ROVs in Norway?,Multi-hop,intersect,EQUIPMENT:\brov\b:INVOLVED;LOCATION:norway:OCCURRED_AT,,,,count_incidents,,10,5:1,ER_NEEDED,,,,27
MH-18,What crane incidents occurred in Brazil?,Multi-hop,intersect,EQUIPMENT:crane:INVOLVED;LOCATION:brazil:OCCURRED_AT,,,,count_incidents,,10,10:1,ER_NEEDED,,,,71
MH-19,What forklift incidents occurred in the UK?,Multi-hop,intersect,EQUIPMENT:forklift|flt:INVOLVED;LOCATION:uk:OCCURRED_AT,,,,count_incidents,,10,10:1,ER_NEEDED,,,,94
MH-20,What scaffold incidents occurred in India?,Multi-hop,intersect,EQUIPMENT:scaffold:INVOLVED;LOCATION:india:OCCURRED_AT,,,,count_incidents,,10,5:1,ER_NEEDED,,,,44
MH-21,What injury types result from high-severity crane incidents?,Multi-hop,intersect,EQUIPMENT:crane|overhead crane|mobile crane|tower crane:INVOLVED,severity_bin >= 4,,,aggregate,INJURY_TYPE:RESULTED_IN,10,1:0,ER_NEEDED,,,,
MH-22,What equipment is involved in incidents at Aberdeen?,Multi-hop,entity_filter,LOCATION:aberdeen:OCCURRED_AT,,,,aggregate,EQUIPMENT:INVOLVED,10,10:1,CLEAN,,,,
MH-23,What sling incidents involved hand or finger injuries?,Multi-hop,intersect,EQUIPMENT:sling:INVOLVED;BODY_PART:hand|finger:AFFECTED,,,,count_incidents,,10,1:0,ER_NEEDED,,,,14
MH-24,What are the injury types from construction incidents resulting in fractures?,Multi-hop,intersect,INJURY_TYPE:fracture:RESULTED_IN,work_process contains construction,,,count_incidents,,10,10:1,CLEAN,,,,135
GL-05,What are the most common equipment-body part co-occurrences across all incidents?,Global,custom,,,,,,,20,,CLEAN,equipment_bodypart_cooccurrence,,,
GL-06,How do safety profiles compare across the top 5 clients by incident volume?,Global,custom,,,,,,,10,,CLEAN,client_safety_comparison,,,
GL-07,Are there seasonal (monthly) patterns in incident frequency?,Global,custom,,,,,,,12,,CLEAN,seasonal_patterns,,,
GL-08,What are the top root causes by geographic region?,Global,custom,,,,,,,10,,CLEAN,rcc_by_region,,,
CJ-08,Find crane incidents in the UK resulting in fractures.,Conjunctive,intersect,EQUIPMENT:crane:INVOLVED;LOCATION:uk:OCCURRED_AT;INJURY_TYPE:fracture:RESULTED_IN,,,,count_incidents,,10,0:0,EXTRACTION_GAP,,,3 narratives mention crane+UK+fracture but INJURY_TYPE::fracture not extracted for those incidents,
CJ-09,Find forklift incidents at construction sites with severity >= 3.,Conjunctive,intersect,EQUIPMENT:forklift|flt:INVOLVED,work_process contains construction;severity_bin >= 3,,,count_incidents,,10,1:0,ER_NEEDED,,,,
CJ-10,Find vehicle road accident incidents resulting in injuries in the USA.,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:motor vehicle road:CATEGORIZED_AS;LOCATION:usa:OCCURRED_AT,impact_type contains Injury,,,count_incidents,,10,3:1,CLEAN,,,,
CJ-11,Find incidents involving PPE with eye injuries during manufacturing.,Conjunctive,intersect,EQUIPMENT:ppe|helmet|gloves|safety glasses|goggles:INVOLVED;BODY_PART:eye:AFFECTED,work_process contains manufacturing,,,count_incidents,,10,0:0,KNOWN_SPARSE,,,3-way conjunction with manufacturing — sparse intersection expected,
CJ-12,Find incidents involving chemical exposure resulting in environmental impact.,Conjunctive,intersect,,impact_type contains environment,"ANY:chemical,hazardous substance,toxic",,count_incidents,,10,5:1,CLEAN,,,,
CJ-13,Find near-miss incidents involving scaffolding at height.,Conjunctive,intersect,EQUIPMENT:scaffold:INVOLVED,incident_type contains near miss,"ANY:fall,height",,count_incidents,,10,3:1,ER_NEEDED,,,,
CJ-14,Find crane incidents in Houston during 2018.,Conjunctive,intersect,EQUIPMENT:crane:INVOLVED;LOCATION:houston:OCCURRED_AT,year == 2018,,,count_incidents,,10,1:0,ER_NEEDED,,,,
CJ-15,Find stored-energy incidents with head injuries.,Conjunctive,intersect,ROOT_CAUSE_CATEGORY:stored energy.*dropped:CATEGORIZED_AS;BODY_PART:head|skull|forehead:AFFECTED,,,,count_incidents,,10,5:1,CLEAN,,,,
CJ-16,Find marine incidents involving ROVs with equipment failures.,Conjunctive,intersect,EQUIPMENT:\brov\b:INVOLVED,work_process contains marine,fail,,count_incidents,,10,1:0,ER_NEEDED,,,,
SC-10,"In incident #644762, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::644762:EQUIPMENT:INVOLVED,10,3:1,auto,,reel|deck winch|crane,Equipment extraction check,
SC-11,"In incident #505133, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::505133:EQUIPMENT:INVOLVED,10,3:1,auto,,ladder|stretcher|helicopter,Equipment extraction check,
SC-12,"In incident #645871, what body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::645871:BODY_PART:AFFECTED,10,1:1,auto,,eye|arm,Body part extraction check,
SC-13,"In incident #609327, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::609327:INJURY_TYPE:RESULTED_IN,10,1:1,auto,,trauma|fracture,Injury type extraction check,
SC-14,"In incident #569346, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::569346:EQUIPMENT:INVOLVED,10,2:1,auto,,ladder|Sideboom,Equipment extraction check,
SC-15,"In incident #569346, what body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::569346:BODY_PART:AFFECTED,10,2:1,auto,,jaw|chin|lip,Body part extraction check,
SC-16,"In incident #569346, what injury types resulted?",Single-hop,spot_check,,,,,aggregate,INCIDENT::569346:INJURY_TYPE:RESULTED_IN,10,1:1,auto,,laceration|three broken teeth,Injury type extraction check,
SC-17,"In incident #685931, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::685931:EQUIPMENT:INVOLVED,10,3:1,auto,,bulker bags|steel rack|locking bar|safety helmet,Equipment extraction check,
SC-18,"In incident #632796, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::632796:EQUIPMENT:INVOLVED,10,2:1,auto,,hydraulic jack|hydraulic hose,Equipment extraction check,
SC-19,"In incident #632796, what body parts were affected?",Single-hop,spot_check,,,,,aggregate,INCIDENT::632796:BODY_PART:AFFECTED,10,1:1,auto,,back|lower back,Body part extraction check,
SC-20,"In incident #611828, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::611828:EQUIPMENT:INVOLVED,10,3:1,auto,,Sideboom|safety helmet|sling,Equipment extraction check,
SC-21,"In incident #563945, what equipment was involved?",Single-hop,spot_check,,,,,aggregate,INCIDENT::563945:EQUIPMENT:INVOLVED,10,2:1,auto,,lifeboats|davit|ice pack,Equipment extraction check,
SH-29,How many incidents involve confined spaces?,Single-hop,narrative_filter,,,confined space,,count_incidents,,10,10:1,CLEAN,,,,75
SH-30,How many incidents involve hot work?,Single-hop,narrative_filter,,,hot work,,count_incidents,,10,10:1,CLEAN,,,,152
SH-31,How many incidents mention chemical exposure?,Single-hop,narrative_filter,,,chemical,,count_incidents,,10,10:1,CLEAN,,,,177
SH-32,How many incidents involve electrical hazards?,Single-hop,narrative_filter,,,electric,,count_incidents,,10,50:1,CLEAN,,,,891
SH-33,How many incidents mention gas leaks?,Single-hop,narrative_filter,,,"ANY:gas leak,gas release,gas escape",,count_incidents,,10,10:1,CLEAN,,,,
SH-34,How many incidents describe man overboard situations?,Single-hop,narrative_filter,,,"ANY:overboard,man overboard,mob",,count_incidents,,10,10:1,CLEAN,,,,114
SH-35,How many incidents mention fatigue as a factor?,Single-hop,narrative_filter,,,fatigue,,count_incidents,,10,5:1,CLEAN,,,,35
SH-36,How many incidents involve H2S or hydrogen sulfide?,Single-hop,narrative_filter,,,"ANY:h2s,hydrogen sulfide,hydrogen sulphide",,count_incidents,,10,5:1,CLEAN,,,,32
CJ-21,What safety controls successfully mitigated harm across all incidents?,Conjunctive,custom,,,,,,,20,,L2_REQUIRED,mitigated_by_analysis,,Analyzes MITIGATED_BY L2 edges,
CJ-22,What barriers and controls failed most frequently across all incidents?,Conjunctive,custom,,,,,,,20,,L2_REQUIRED,failed_control_overview,,Analyzes FAILED_CONTROL L2 edges,
CJ-23,What temporal sequences (event A preceded event B) are most common?,Conjunctive,custom,,,,,,,20,,L2_REQUIRED,preceded_by_analysis,,Analyzes PRECEDED_BY L2 edges,
CJ-24,What are the top causal factors leading to dropped-object incidents?,Conjunctive,custom,,,,,,,10,,L2_REQUIRED,causal_factors_dropped,,L2 CAUSAL edges for dropped-object RCC,
CJ-25,What are the top causal factors in vehicle-related incidents?,Conjunctive,custom,,,,,,,10,,L2_REQUIRED,causal_factors_vehicle,,L2 CAUSAL edges for vehicle RCC,
CJ-26,What causal chains lead to fracture injuries?,Conjunctive,custom,,,,,,,10,,L2_REQUIRED,causal_factors_fracture,,L2 CAUSAL edges for fracture outcomes,
AG-21,How do incidents break down by work process and risk color?,Aggregation,crosstab,,,,,crosstab,work_process:risk_color,,3:1,CLEAN,,,,
AG-22,How do the top countries compare on accident vs near-miss ratios?,Aggregation,crosstab,,,,,crosstab,loc_country:incident_type,,3:1,CLEAN,,,,
AG-23,How do root cause categories distribute across business units?,Aggregation,crosstab,,,,,crosstab,business_unit:case_categorization,,1:0,DATA_SPARSE,,,70.7% null business_unit — partial coverage expected,
AG-24,How does severity distribution vary by year?,Aggregation,crosstab,,,,,crosstab,year:severity_bin,,1:0,CLEAN,,,,
SH-21,What incidents involved pallets?,Single-hop,entity_filter,EQUIPMENT:pallet:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,340
SH-22,What incidents involved fire extinguishers?,Single-hop,entity_filter,EQUIPMENT:fire extinguisher|extinguisher:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,148
SH-23,What incidents involved reels?,Single-hop,entity_filter,EQUIPMENT:reel:INVOLVED,,,,count_incidents,,10,50:1,ER_NEEDED,,,,241
SH-24,What incidents involved umbilicals?,Single-hop,entity_filter,EQUIPMENT:umbilical:INVOLVED,,,,count_incidents,,10,20:1,ER_NEEDED,,,,115
SH-25,What incidents affected the left hand?,Single-hop,entity_filter,BODY_PART:left hand:AFFECTED,,,,count_incidents,,10,50:1,CLEAN,,,,1015
