record_no,narrative,case_categorization,severity,impact_type,work_process,causal_density,causal_matches,token_count,stratum
504652,"At around 14:00, a piece of smoke was observed on the deck around the welding cable. It was later found out that the smoke was generated at the connection plug of the welding cable. The suspected cause is that the cable connection became slacked due to tension causing the heat accumulation. The melt was at the connection plug and socket. No flame was observed but smoke. The welding cable changed before activity resumed.",Fire & Explosion - Accumulation / Presence of explosive atmosphere,Fire/Explosion - 2. Moderate,Fire/Explosion,Welding,0.0410958904109589,3.0,73.0,fire_explosion
540853,"On June 3, 2017 at 08:26 local time an automatic fire alarm system triggered in the hostel 1-2.1 of the North Camp. The activation of the system was triggered by the smoke in the ventilation system in the attic of the right wing of the hostel. People were evacuated.",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Support Service,0.04081632653061224,2.0,49.0,fire_explosion
507557,"During welding at 7 mtr elevation of battery limit, the earthing cable clamp (holder) got heated up and smoke started coming from it._x000D_ _x000D_ The incident noticed by an engineer and welding machine was immediately switched off by concern area Supervisor._x000D_ _x000D_ No injury and property damage caused due to the incident","Fire & Explosion - Flammable solids, liquids and gases",Injury - 1. First Aid Care,Injury,Site Electrical,0.038461538461538464,2.0,52.0,fire_explosion
531801,Person Involved was performing grinding works on the vessel when sparks created by_x000D_ the grinding work projected to a close by butane gas cylinder resulting In a flame Ignition_x000D_ at the connection 01 the butane bottle. The gas cylinder was immediately closed and the_x000D_ flame was slopped. No damage or injuries were caused.,"Fire & Explosion - Flammable solids, liquids and gases",Injury - 3. Lost Time Injury,Injury,Yards,0.03773584905660377,2.0,53.0,fire_explosion
520514,"On 21.12.2016 at 13:00 hours at the plant construction site Train 3 area, OOO Velesstroy Montazh subcontractor’s tent (temporary structure covered with tarp) caught fire due to the diesel fuel blowout from the air heater nozzle on the tent’s tarp which caused inflammation thereof. There were no injuries. There was no material loss.",Fire & Explosion - Explosives / potential explosives,Fire/Explosion - 1. Negligible,Fire/Explosion,Construction - Installation,0.03773584905660377,2.0,53.0,fire_explosion
671027,"At approx. 3AM we had a tarp catch on fire on the NPE frac site. It was wrapped around an accumulator engine because the tech was having trouble starting the motor thinking it was because of the extreme cold. Once he finally got the engine to start, the exhaust caught the tarp on fire because it was too close. The tarp was immediately pulled off and the fire was put out. The accumulator was inspected and found to be undamaged functionally.","Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Operations,0.037037037037037035,3.0,81.0,fire_explosion
704256,"At 3:30 p.m. on January 18, TMP-002 under Deck D, a length of grinding cable (with connector) was lying on the scaffolding walkway. When a worker accidently stepped on the socket and caused the cable to be damaged after contact with the scaffolding plank. The disconnected cable was in power supply and hence caused the fire on the cable due to short circuit. _x000D_ Power was cut down and fire was put out immediately by disconnecting the plug from another extension cord._x000D_ ELCB tripped due to the short circuit. _x000D_ There were 3 extension cords connected together. _x000D_ The short circuit caused by the cable getting contact with the metal scaffolding boards. _x000D_ The power was removed from the power supply by another worker as soon as the fire occurred. _x000D_ Investigation was conducted for this incident.",Fire & Explosion - Explosives / potential explosives,Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Yards,0.0364963503649635,5.0,137.0,fire_explosion
697605,"While replacing X-head die and re-attaching melt tube on Thermo line 3, the temperature sensor was removed to be able to open an access hatch in the mezzanine floor above the extruder. The sensor was blocking the hatch thus could not be opened. _x000D_ _x000D_ The operator forgot to re-attach the temperature sensor resulting in overheating of the melt tube due to no temperature signal, this resulted in PP fumes and smoke violently being released from melt tube ball joint. _x000D_ _x000D_ The smoke resulted in a fire alarm and a fire truck arrived at site. No personnel were in the area at the time of release._x000D_ _x000D_ ** Information taken from Shawcor Initial Incident Notification Report **","Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 3. Significant impact on entity/asset figures. Likely impact on (R)BU/GBU figures,Financial Impact,Vessel / Yards,0.03389830508474576,4.0,118.0,fire_explosion
574147,"Laminated plastic coated empty wooden box accumulated near GTG open area, got small fire due to High atmospheric temperature. Our one of Engineer observed and immediately extinguished by using sand.","Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 1. No impact on entity/asset figures,Financial Impact,Pre-Commissioning / Commissioning,0.03333333333333333,1.0,30.0,fire_explosion
520515,On 22nd of December 22:30 ignition in the container. HSE engineer informed fire safety team and responsible persons. _x000D_ Preliminary cause of ignition is short circuit of an electrical cable,Fire & Explosion - Explosives / potential explosives,Fire/Explosion - 1. Negligible,Fire/Explosion,Construction - Installation,0.03333333333333333,1.0,30.0,fire_explosion
502403,"At 9:00am 21-July-2016, on the module 113 PAU 001 below L1 on the scaffolding platform one plastic bottle caught fire._x000D_ One worker from piping sublet-subcontractor Ai Fa, was performing hot work (cutting an opening around a pipe) on the deck 1. The plastic bottle caught fire, due to the sparks which dropped from this activity on below I-beam._x000D_ The fire was immediately extinguished because of a good arrangement of firefighting (Fire watchman/fire extinguish-er/fire blanket). The same worker took an immediate action to put off the fire by using the fire blanket._x000D_  No material was damaged and nobody was injured. _x000D_  Immediate investigation shows that the cause are:_x000D_ 1. Inadequate pre-task checking of the work place._x000D_ 2. Poor housekeeping around working area.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 1. Negligible,Fire/Explosion,Site Mechanical And Piping,0.03305785123966942,4.0,121.0,fire_explosion
12714,"During a hot work activity, oxyacetylene hose failed and flashback arrestor did not work properly generating a flashback near to the handle. Gas supply was closed immediately and nobody was hurt.","Flammable solids, liquids and gases",2 - Minor,Injury/Illness,Construction - Installation-Construction,0.03225806451612903,1.0,31.0,fire_explosion
532071,It was reported to IEMANTS HSE that a welder left a propane torch tuned on positioned under the grillage. The propane hose was positioned where the torch was laid down causing it to bum through the hose. The equipment was immediately turned off. This also caused extra heat to be applied to the bearing pad. It is to be checked by iemants QC.,"Fire & Explosion - Flammable solids, liquids and gases",Injury - 3. Lost Time Injury,Injury,Yards,0.031746031746031744,2.0,63.0,fire_explosion
509507,"Piping team crew member was helping to welder to lower welding cable from Deck-G to Deck-F. In the process, welding switch touched along the way, at that time tungsten electrode touched the scaffold board and caused some sparks. Spark splashed down below within the cable tray plastic sheeting in Deck-F, causing a minor fire but was immediately extinguished by workers in the area.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 2. Moderate,Fire/Explosion,Yard - Spool Base Fabrication,0.031746031746031744,2.0,63.0,fire_explosion
607094,"Preparation of a solution containing nitric acid with the help of a doser. After pumping 3 doses of 15ml in a baker, the nitric acid bombon is placed on the palm. About 30 seconds later, a strong detonation appears causing a acid projection. One person suffered damage due to the detonation (yes), a second repeated a acid projection on the face and front.",Fire & Explosion - Uncontrolled chemical or physical reaction,Injury - 3. Lost Time Injury,Injury,Testing,0.031746031746031744,2.0,63.0,fire_explosion
567598,"While a welder was doing welding of a pipe joint inside welding booth; fire observed by his helper in welding booth Tarpaulin. _x000D_ _x000D_ As investigated it was found that due to lose connection of welding cables, caused cable overheat generated and caught fire._x000D_ _x000D_ Fire Fighting Team rushed to the spot and extinguished the fire in initial stage using nearby available fire Extinguishers.","Fire & Explosion - Flammable solids, liquids and gases",Injury - 1. First Aid Care,Injury,Welding,0.03125,2.0,64.0,fire_explosion
502227,A fire occurred due to a overheated cable supplying power to a torch that was being used to cut metal sheets. The fire was extinguished by the working team with an extinguisher.,"Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Site Mechanical And Piping,0.03125,1.0,32.0,fire_explosion
19447,"It was observed a small fire inside the waste bin outside workshop WH27, caused by used cigarettes and napkins thrown into same bin. I immediately  Extinguished the fire and informed QHSE Department.","Flammable solids, liquids and gases",2 - Minor,Damage - Financial impact,Engineering-Buildings,0.03125,1.0,32.0,fire_explosion
633611,"A First Aid Incident occurred while a helper (S/C: M/s BIL)  was assisting to welder during welding activity on Prilling Tower, unfortunately a Welder’s Flash(Arc Eye) happened due to non-using of Dark Eye Glasses","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Construction - Installation,0.029411764705882353,1.0,34.0,fire_explosion
681702,"A worker was tasked to Cut a stiffner on the Plate Girder. While performing the activity, a Cutting gas ( LNG) Hose caught fire from the sparks that fell from the cutting activity. LNG gas hose was pinched and leaking and hence sparks caused the fire. Worker immediately went to the gas manifold. Disconnected the hose from the manifold and disconnected the hose from the crimped connection, and hence fire on the hose stopped. The fire caused a superficial burn on another parallel Oxygen gas hose. No further fire from the oxygen hose was observed._x000D_ The Sparks caused from the cutting activity caused the fire and no fire blanket was used to protect the hose and no cable hangers was used to elevate the hose. Despite the availability of Fire blankets and Cable hangers in the area.","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Yards,0.029197080291970802,4.0,137.0,fire_explosion
553964,"On September 27th at approximately 10:00 am, Stripping Machine Operator reported material smoldering on the ground under the brush machine at the Stripping Station. The operator reported the Brush on the south side of the machine was vibrating due to excessive wear, so he decided to use only the brush on the North side of the machine. The excessive use of one worn brush resulted in higher friction during the stripping process, resulting in overheating the material when it 'clogged' on the brush, as it was removed from the pipe. Operator immediately shut down the operation, utilized a fire extinguisher and eliminated any potential fire. The operation remained shut down until Maintenance personnel completed the maintenance and troubleshooting on the north and south brush. There were no injuries and no damage occurred to the equipment or pipe.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 2. Moderate,Fire/Explosion,Manufacturing,0.029197080291970802,4.0,137.0,fire_explosion
678916,During the manifold block welding activity in CLAD 19 occurred a overheating at a point of the installation??the electrical of the equipment causing a principle of fire that was contained with the use of the extinctor.,Fire & Explosion - Uncontrolled chemical or physical reaction,Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Maintenance,0.027777777777777776,1.0,36.0,fire_explosion
584554,"On 30 April 2018 at 17:00, local time, the automatic fire alarm system triggered in the main office STL. The message to the dispatcher of the ОМС smoke fire detector triggering came from the duty electrician. The OMC dispatcher notified the emergency response service and the management of the organization. The trigger was caused by smoke as a result of melting the terminal connection wires in the main office, room 1- 310.",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.027777777777777776,2.0,72.0,fire_explosion
696801,"At around 04:15 PM, grinder man was performing grinding work on pipe spool. Nearby the hot work area, combustible material (cardboard carton) was lying down. In due time, fumes observed from the carton because of grinding sparks. Grinder man dumped carton into general waste dustbin without extinguishing generated smoke. Due to which heat generated inside general waste bin and smoke was observed. Immediately, safety supervisor extinguished the smoke by water. No injury was reported.","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Other Manufacturing Activities,0.02702702702702703,2.0,74.0,fire_explosion
538517,"17.05.2017 around 11:00. At the construction site ""LNG plant"", Train 1, Compressor ""A"", during hot works, a protective cover of dornite melted over an area of 0.5 square meters, which was discovered by the employees of LLC ""Velesstroy"" who used primary fire extinguishing means (Fire extinguishers). As a result of the incident there are no injuries and no property damage._x000D_ Melting of dornite was caused by failure to prevent spreading of sparks during hot works","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 1. Negligible,Fire/Explosion,Construction - Installation,0.02666666666666667,2.0,75.0,fire_explosion
633615,"A First Aid Incident occurred while a helper named Mr. Dharmendra Yadav (S/C: M/s BIL)  was assisting to welder during welding activity on Prilling Tower, unfortunately a Welder’s Flash(Arc Eye) happened due to non-using of Dark Eye Glasses","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Construction - Installation,0.02631578947368421,1.0,38.0,fire_explosion
565957,"During shifting of gas cutting torch from outside to inside heater cell (into cell no-1) through Peep door, the gas cutting torch tip has been ignited automatically due to falling of welding spatters on torch tip from where the DA was leaking because the DA knob(off / on switch) was unfortunately “on “condition. Then the fire extinguished immediately by closing of DA knob. The area was restricted for unauthorized entry. No injury & no property damage.","Fire & Explosion - Flammable solids, liquids and gases",Environment - 1. Minimal Impact,Environment,Construction,0.02631578947368421,2.0,76.0,fire_explosion
654091,"Around midnight one of the press heating elements caught fire, which probably happened due to short circuiting of wires for the heating element. Fire extinguisher was used by one of the press operator to put out the fire.",Fire & Explosion - Explosives / potential explosives,Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Other Manufacturing Activities,0.02631578947368421,1.0,38.0,fire_explosion
513221,"A team of sublet contractor was doing cutting work in the Final Assembly 200-PAR-011 Deck-E. Sparks from the cutting activity ignited the rug in Deck-D and caused a minor fire, and then the fire was put out immediately.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 1. Negligible,Fire/Explosion,Yard - Spool Base Fabrication,0.02631578947368421,1.0,38.0,fire_explosion
504523,"Monday morning around 7.50 am, there was an incident reported by WTP L7 office cleaner that the water dispenser had leaked and flooded the office flooring at Level 7 Door 4. _x000D_ _x000D_ Upon investigation, found that wall plug had burnt due to excessive electrical load from shredder machine and water dispenser. Water dispenser's plug had burnt together with the wall plug, and this caused the water dispenser to leak. Shredder's plug was also burnt (refer attached incident report).",Fire & Explosion - Explosives / potential explosives,"Damage - 1. Less than 100,000 Euros",Damage,Support Service,0.02531645569620253,2.0,79.0,fire_explosion
707034,"A fitter performed grinding work in module shop bay 2, the flying sparks ignited the joint of a mistakenly opened gas hose(1.5 meters away) and caused the fire. Surrounding workers immediately closed the gas valve and put out the fire","Fire & Explosion - Flammable solids, liquids and gases",Injury - 1. First Aid Care,Injury,Construction,0.025,1.0,40.0,fire_explosion
520808,"A welder from the company 'Nowproject'(Hendryk Koszyk, ID141_x000D_ ) has left his weldingspot (hut), his flame on the torch was still on. This for a period from more than 10 minutes. This incident/near miss could cause a fire on NID","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 3. Significant,Fire/Explosion,Yards,0.025,1.0,40.0,fire_explosion
28118,"During grinding activities on a PLET, the grinding spark unintentionally directed towards a welding rod package.  This resulted in a minor fire involving the welding rod package.  The fire was contained and quickly extinguished with no injury or any damage to equipment.","Flammable solids, liquids and gases",2 - Minor,Damage - Financial impact,Manufacturing-Welding,0.023809523809523808,1.0,42.0,fire_explosion
540699,On 27 of May 2017 at 23:53 an automatic fire alarm went off in the canteen 2-7 of the North Camp. OMC dispatcher notified ER team and company management. This was caused by a smoke generated by ignition of the electric oven.,Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction,0.023809523809523808,1.0,42.0,fire_explosion
511910,"Fitter from PJOE S&P Workshop was doing cutting work. In the process, spark ignited the welding carton underneath his work place in the east side of Final Assembly 300-PAR-005 Deck-C, caused a minor fire, he put out the fire with his co-worker immediately.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 1. Negligible,Fire/Explosion,Yard - Spool Base Fabrication,0.023255813953488372,1.0,43.0,fire_explosion
588756,"On 23.05.2018 at about 7:30 am at LLC SNEMA-SERVIS camp near Train 2&3 satellite offices an ignition in store container happened. Fire alarm triggered, at 07.35 am, 32 people were evacuated to the muster point. The elimination of smoke was done by firemen of FD JSC Yamal LNG. It was found out that an electrician of SNEMA was performing welding activities without authorization which caused the ignition. As the result of smoke the outside paint of container was damaged. No injured, no damage to property or equipment",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.022988505747126436,2.0,87.0,fire_explosion
718571,"At the southwest of the Deck C of 1-TMP-004 module, LCJT performed welding for the guardrail installation. The weldingsparks flied to the underneath scaffolding platform, causing an unsealed insulation glue bottle caught fire, the fire was putout by surrounding employees. No one was injured","Fire & Explosion - Flammable solids, liquids and gases",Injury - 1. First Aid Care,Injury,Construction,0.022727272727272728,1.0,44.0,fire_explosion
651350,"Air compressor which was being used for exchanger cell drying purpose after hydro test, suddenly its inside wiring(start-up panel wiring) caught minor fire due to heat. The minor fire extinguished by using fire extinguisher from nearby fire stand. No injury & property got damaged.","Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 1. No impact on entity/asset figures,Financial Impact,Construction,0.022727272727272728,1.0,44.0,fire_explosion
732855,"On Date 19-10-2020 around 04:45pm at Ammonia compressor area,  suddenly smoke was found in welding cable due to overheating as cable was being kept in bundle at one place, immediately the power supply was cut off. There is no personal injury in this incident.","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Construction - Installation,0.022727272727272728,1.0,44.0,fire_explosion
712201,"While checking light towers, I noticed a large amount of Diesel had been spilled while filling the fuel tank and had flooded the bottom o the Light plant.  The exhaust runs through the bottom of the containment and could potentially cause the diesel to ignite.","Fire & Explosion - Flammable solids, liquids and gases",Environment - 4. Major Impact,Environment,Support Service,0.022222222222222223,1.0,45.0,fire_explosion
611782,Employee #10024200 Stacked four pallets high of the four inch triple step boxes. When the employee backed up on the swing lift the bottom pallet collapsed causing the stack to fall over.,Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Transport / Handling / Packing,0.0625,2.0,32.0,falls_slips
518862,while coming down from scaffold his leg slipped from ladder steps. Since his safety belt tied with hand rail hence he hold on scaffold._x000D_ _x000D_ No injury/ property damage caused due to the incident.,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 1. First Aid Care,Injury,Site Mechanical And Piping,0.058823529411764705,2.0,34.0,falls_slips
671031,"Employee was attending First Aid/CPR/AED training.  Due to an aversion to needles, he fainted during the instruction on the Epipen, fell from his chair hitting his head on the wall causing scalp abrasion, headache, and cervical strain.",Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),Injury - 3. Lost Time Injury,Injury,Engineering,0.05405405405405406,2.0,37.0,falls_slips
510043,"During Management Walkthrough by project managers and site execution team, while team is moving to visit Radiant panel mock-up assembly area, a manager was unknowingly kept his feet on wooden member, the same was slipped due to sludge and lost his body balance and immediately controlled by himself_x000D_ No injury or damage was caused due to the incident","Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Construction,0.05172413793103448,3.0,58.0,falls_slips
513419,"at the end of gaining, the first machine had to cut the crack at the end of gaining, and it slept on the platform at the level of the head, because the platform is sliding due to the P40tl","Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 1. First Aid Care,Injury,Sheathing / Drying,0.05128205128205128,2.0,39.0,falls_slips
535432,"It was reported by YAMGAZ HSE Supervisor that unsecured Gas Cylinder fell out of the trolley on to the deck causing a leak,_x000D_ On further Investigation with workers who were on the shift they had no informatuon on this occurrence. No photos of fallen bottle or witness statements available which resulted in failure to complete an investigation report properly",Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Yards,0.05084745762711865,3.0,59.0,falls_slips
539761,"at approx. 13:40pm a Doka system scaffold size approximately 8 meters height slanded inwards and rested against the building due to high winds. No damage, no personnel in the area due to weather condition . DOSH being notified. under investigation",Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.05,2.0,40.0,falls_slips
624259,A number of Genesis personnel have experienced slipping while walking across the car park due to the icy conditions. The loc bloc areas of the car park appear to be particularly affected._x000D_ Slips were experienced previously during December due to icy conditions.,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 3. Lost Time Injury,Injury,Support Service,0.047619047619047616,2.0,42.0,falls_slips
638006,"Employee was on top of mud mat holding a tag line, the tagline popped causing the employee to fall back and fall off the mud mat. The Employees head was cut due to his hard hat cutting him when he hit the ground, due to the hard hat shifting and the brim cutting him._x000D_ Update: IP had successful neck surgery and is rapidly recovering.",Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),Injury - 3. Lost Time Injury,Injury,Manufacturing,0.046875,3.0,64.0,falls_slips
573683,"Technician was transporting a pallet from one location to another. As he was coming to a stop, forward momentum carried the wear bushing part off the pallet. Wear bushing was not banded down or chocked down before moving. No damages or injuries resulted.",Work environment - Fall to lower level / fall to water / loose materials (e.g. silos with granulate),Financial Impact - 2. Minor impact on entity/asset figures,Financial Impact,Yards,0.046511627906976744,2.0,43.0,falls_slips
741102,IP was walking from the bakery to the fruit preparation station when suddenly IP's slipped causing him to loose his balance and subsequently his body weight landed on top of his knee which impacted the ground and same time causing his knee to twist.,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",,,,0.045454545454545456,2.0,44.0,falls_slips
713503,A contractor was walking in the tree storage section of S05 and did not see the corner of the oxygen cylinder pallet. The contractors foot connected with the pallet causing the contractor to fall to the ground. This incident did not result in an injury.,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 1. First Aid Care,Injury,Workshop Activities,0.044444444444444446,2.0,45.0,falls_slips
17224,"One person was descending the staircase located behind the Batiment R, she crushed and could get back just in time to the rambards. Staircase stairs narrow. We were informed that at climbing the people in safety shoes, the staircase had no countermarches, the end of the shoes collapsing causing falls.",Fall to lower level / fall to water / loose materials (e.g. silos with granulate),2 - Minor,Injury/Illness,Engineering-HSE Design,0.04,2.0,50.0,falls_slips
569539,"On 29.01.2018 around 1035Hrs, At fender storage area(Zone 1),Offshore Yard, One of Staff form Offshore Department Was sprained due to uneven surface area (Soil Area)._x000D_ Sprained at injury spot on his right ankle due to previously involved in motorcycle incident during performing routine inventory for asset equipment at fender area.","Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 1. First Aid Care,Injury,Yards,0.04,2.0,50.0,falls_slips
606604,Employee fell to her knees when entering the building due to slipping in water. She sent an email to the building ERT Captain advising of the incident. She was then advised to be checked out in the clinic on site due to complaints of her back hurting as well. Adv,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Yards,0.04,2.0,50.0,falls_slips
642489,07..5.19 - 9:36 AM Injured Person (IP) contract employee  reported as injured due to tripping incident.  IP found to have an abrasion in their right pinky finger due to striking the conference room wall when tripping.  First aid treatment provided by Emergency Response Team member to IP at incident location.,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Information Technology,0.04,2.0,50.0,falls_slips
665185,Exited the building in route towards the JLG forklift.  There was fresh snow on the ground.  While walking he stepped on black ice causing him to slide towards a goat head and striking his shin on a metal stud.  This caused an minor abrasion on the right shin below the knee cap.,"Work environment - Falls, slips and trips on same level (without potential to fall to lower level)",Injury - 1. First Aid Care,Injury,Workshop Activities,0.038461538461538464,2.0,52.0,falls_slips
28885,"After completing his task, a technician was in the process of removing his Tyvek suit. As he attempted to extract his leg and boot, he encountered resistance due to the suit being tight around the boot area. To assist, another technician stepped on the back of the suit to hold it in place while the technician lifted his leg. However, this action caused the technician wearing the suit to lose his balance, resulting in a fall to the ground.","Falls, slips and trips on same level (without potential to fall to lower level)",2 - Minor,Injury/Illness,Vessel / Yards-Workshop Activities,0.0379746835443038,3.0,79.0,falls_slips
