src,rel,dst,src_label,dst_label,row_id
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,15590
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,15590
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,15590
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,15590
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,15590
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,15590
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,15590
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,15590
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,15590
node:f59c096b3321a5ef,code of is,node:802123272b9534ca,incident,TFMC444,15590
node:2809263c1552cd5a,is,node:802123272b9534ca,location code,TFMC444,15590
node:44ad6ef303383e12,were in,node:7e1a0ff346b7dc52,pressure jets,breakdown,20708
node:79e76a98b4cee14c,were in,node:70bdaf98a9b48073,high pressure jets,for technical reasons breakdown,20708
node:44ad6ef303383e12,were in,node:70bdaf98a9b48073,pressure jets,for technical reasons breakdown,20708
node:44ad6ef303383e12,were in,node:9c07575a2479b2a1,pressure jets,for reasons breakdown,20708
node:79e76a98b4cee14c,were in,node:7e1a0ff346b7dc52,high pressure jets,breakdown,20708
node:020e795eb78fe3eb,have faced at_time,node:456e2d4bcaf3e75e,we,yesterday,20708
node:79e76a98b4cee14c,were in,node:9c07575a2479b2a1,high pressure jets,for reasons breakdown,20708
node:5882d3fb9a040cf2,is with,node:10b81a4ea20d6fa5,tensioner pads situation,marine growth debris passed during cleaning,20708
node:020e795eb78fe3eb,can see on,node:8b404f2ca7648002,we,large amount,20708
node:2db2b0e8ac06d9eb,is,node:a7fbe2154dc80f13,we can see,almost full,20708
node:2db2b0e8ac06d9eb,is almost full of,node:9ca2d009b2ea8d90,we can see,compress debris,20708
node:2db2b0e8ac06d9eb,is,node:fd553e5e4a27ccbb,we can see,full,20708
node:020e795eb78fe3eb,can see on,node:ad439577045e596a,we,amount of pads surface teeth,20708
node:2db2b0e8ac06d9eb,is full of,node:daf1e821ff795cc6,we can see,compress debris of shellfish,20708
node:2db2b0e8ac06d9eb,is almost full of,node:daf1e821ff795cc6,we can see,compress debris of shellfish,20708
node:2db2b0e8ac06d9eb,is full of,node:9ca2d009b2ea8d90,we can see,compress debris,20708
node:020e795eb78fe3eb,can see on,node:5af80195b68a4db8,we,large amount of pads surface teeth,20708
node:020e795eb78fe3eb,can see on,node:3b4179614ee037c8,we,amount,20708
node:c2507b973fccd819,could product,node:618ba1b2ac845d90,situation,potential slippage,20708
node:cc58621b661a3b49,are,node:be30e96d13eed620,our squeezing OFEP,To my opinion affected by lack,20708
node:cc58621b661a3b49,are,node:0f87b5573dcb4ae7,our squeezing OFEP,To my opinion affected by lack on our tensioner pads,20708
node:026759489f6dd1ff,are,node:cedc3f77294ba862,our OFEP,To my opinion affected by lack of grip on our tensioner pads,20708
node:cc58621b661a3b49,are affected by,node:48392a7ee7d05e44,our squeezing OFEP,lack of grip on our tensioner pads,20708
node:cc58621b661a3b49,are,node:15b2d730b796cc9f,our squeezing OFEP,affected,20708
node:026759489f6dd1ff,are,node:15b2d730b796cc9f,our OFEP,affected,20708
node:026759489f6dd1ff,are,node:be30e96d13eed620,our OFEP,To my opinion affected by lack,20708
node:cc58621b661a3b49,are affected by,node:a9de62109b5bbd4c,our squeezing OFEP,lack,20708
node:026759489f6dd1ff,are affected To,node:973b8ab27a953d75,our OFEP,my opinion,20708
node:cc58621b661a3b49,are affected To,node:973b8ab27a953d75,our squeezing OFEP,my opinion,20708
node:026759489f6dd1ff,are affected by,node:8fc7b722c972d50c,our OFEP,lack on our tensioner pads,20708
node:cc58621b661a3b49,are affected by,node:fa8a4a0b2bdeb5d0,our squeezing OFEP,lack of grip,20708
node:cc58621b661a3b49,are affected by,node:8fc7b722c972d50c,our squeezing OFEP,lack on our tensioner pads,20708
node:026759489f6dd1ff,are affected by,node:fa8a4a0b2bdeb5d0,our OFEP,lack of grip,20708
node:cc58621b661a3b49,are,node:cedc3f77294ba862,our squeezing OFEP,To my opinion affected by lack of grip on our tensioner pads,20708
node:026759489f6dd1ff,are affected by,node:48392a7ee7d05e44,our OFEP,lack of grip on our tensioner pads,20708
node:026759489f6dd1ff,are,node:0f87b5573dcb4ae7,our OFEP,To my opinion affected by lack on our tensioner pads,20708
node:cc58621b661a3b49,are,node:f5be343eaf542d99,our squeezing OFEP,To my opinion affected by lack of grip,20708
node:026759489f6dd1ff,are affected by,node:a9de62109b5bbd4c,our OFEP,lack,20708
node:026759489f6dd1ff,are,node:f5be343eaf542d99,our OFEP,To my opinion affected by lack of grip,20708
node:c0bfb290b44c7371,clean,node:cfc4f8bbea4858c0,My recommendation,our tensioner pads,20708
node:31293efe993c24ad,type of is,node:1c1b1bd9d2192d38,impact,Damage,20708
node:94894d0480830370,is,node:1c1b1bd9d2192d38,type,Damage,20708
node:f65bceae9e1f5084,is,node:7cd31340dfaeb57a,description,Substantial,20708
node:1a345cef2abea8d3,is,node:c5c11887218b0e4c,severity value,4.0,20708
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,20708
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,20708
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,20708
node:9e0a3afd66f4fadf,is,node:89c9e690f63d8de8,case,occur,20708
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,20708
node:8987dddee8db0aa6,is,node:30a3d0c53ccd6c66,criticality,32.0,20708
node:6ad8136021b8f634,is,node:18769c6ca5c2e6a5,risk color,Yellow,20708
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,20708
node:1dc98cc9a40e5a79,is,node:f14573a79da37f00,date,2024-04-24 02:30:00.000,20708
node:9e0a3afd66f4fadf,title of is,node:ade5231b4b80e03c,case,VLS7 Potential product slippage,20708
node:f02496fb1c3a429d,is,node:ade5231b4b80e03c,title,VLS7 Potential product slippage,20708
node:87f3c20997d168f9,is in,node:1d89b4aec2173c3c,old umbilical recovery operation,Enfield,20708
node:f02496fb1c3a429d,is,node:f5c1a535ac76a6de,title,VLS7 Potential product slippage due,20708
node:9e0a3afd66f4fadf,title of is,node:f5c1a535ac76a6de,case,VLS7 Potential product slippage due,20708
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,20708
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,20708
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,20708
node:02b2c2d0700811c7,is,node:870e2c1cc5c6ef05,Business Unit,Vessels iEPCI,20708
node:efb0833c3b6eb969,is,node:870e2c1cc5c6ef05,specific Business Unit,Vessels iEPCI,20708
node:02b2c2d0700811c7,involved in,node:9e0a3afd66f4fadf,Business Unit,case,20708
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,20708
node:5322bd41eb35fa05,is,node:98c1cea89b4b3a07,name,300764C005,20708
node:99ac13c2bb0f4fc7,is,node:6b48d8facb7cf47c,client,TECHNIP UK LIMITED,20708
node:d9d10f1dc86defd4,is,node:bbcd489b376197c9,case categorization,Planning,20708
node:d9d10f1dc86defd4,coordination of,node:3c46ad0911c8c040,case categorization,works,20708
node:f4fb9429ef1c1c5d,is,node:8dac4b27874f4313,work process,Construction,20708
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,20708
node:9e0a3afd66f4fadf,was reported on,node:49122ea5a8843b1f,case,2024-04-15,20708
node:8045bc4ef3beffa2,is,node:4a8e93a758aa940d,status,Open,20708
node:fd062c23cbff59ef,was,node:c5c11887218b0e4c,loss potential severity,4.0,20708
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,20708
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,20708
node:3dc2d5f80ef9d4ee,is,node:e32375a02bc4d9bf,operating center,UK Aberdeen,20708
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,20708
node:f59c096b3321a5ef,code of is,node:8601677ad267e0ac,incident,TFMC505,20708
node:2809263c1552cd5a,is,node:8601677ad267e0ac,location code,TFMC505,20708
node:94894d0480830370,is,node:3a0fe8545bac232e,type,Injury/Illness,14854
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,14854
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,14854
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,14854
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,14854
node:9e0a3afd66f4fadf,is,node:89c9e690f63d8de8,case,occur,14854
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,14854
node:8987dddee8db0aa6,is,node:498b3797c1ffeb8d,criticality,8.0,14854
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,14854
node:b66ca7b81154bd22,is,node:c5c11887218b0e4c,value,4.0,14854
node:688608fa38c6d97c,is,node:56ad49b28b1f4b20,mitigated risk color,Green,14854
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,14854
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,14854
node:1dc98cc9a40e5a79,is,node:ac4d8024f60c730d,date,2023-04-04 18:17:00.000,14854
node:f02496fb1c3a429d,is,node:7cdf8021daa3b04d,title,Falta de extintor de incêndio dentro da oficina elétrica de Pipelay,14854
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,14854
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,14854
node:efb0833c3b6eb969,is,node:0a8aa232494d650c,specific Business Unit,Projects,14854
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,14854
node:02b2c2d0700811c7,involved in,node:9e0a3afd66f4fadf,Business Unit,case,14854
node:02b2c2d0700811c7,is,node:0a8aa232494d650c,Business Unit,Projects,14854
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,14854
node:5322bd41eb35fa05,is,node:3fed62e348f32e66,name,070556C001,14854
node:ace9b0eac87cb97b,name of is,node:3fed62e348f32e66,project,070556C001,14854
node:99ac13c2bb0f4fc7,is,node:9e65ab9ef645443f,client,PETROBRAS,14854
node:d9d10f1dc86defd4,is,node:68d037e05a11bb4f,case categorization,Equipment condition,14854
node:9e0a3afd66f4fadf,was reported on,node:95b4cd0ed3ccaa23,case,2023-05-25,14854
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,14854
node:8045bc4ef3beffa2,is,node:4a8e93a758aa940d,status,Open,14854
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,14854
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,14854
node:3dc2d5f80ef9d4ee,is,node:87e6f979dbf54aa1,operating center,TPBRASIL,14854
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,14854
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,14854
node:2809263c1552cd5a,is,node:a59e9d67a639f1aa,location code,TFMC649,14854
node:f59c096b3321a5ef,code of is,node:a59e9d67a639f1aa,incident,TFMC649,14854
node:05b7e23f147a47b0,showed,node:9dc1d4db99083757,Inspection,tear on sling,27437
node:05b7e23f147a47b0,showed,node:fc2b08931077ae97,Inspection,tear,27437
node:94894d0480830370,is,node:3a0fe8545bac232e,type,Injury/Illness,27437
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,27437
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,27437
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,27437
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,27437
node:9e0a3afd66f4fadf,is,node:89c9e690f63d8de8,case,occur,27437
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,27437
node:8987dddee8db0aa6,is,node:498b3797c1ffeb8d,criticality,8.0,27437
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,27437
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,27437
node:1dc98cc9a40e5a79,is,node:9a62f4d6cac2a857,date,2025-03-18 17:18:00.000,27437
node:9e0a3afd66f4fadf,title of is,node:606a596c632a0db5,case,Good Practice,27437
node:9e0a3afd66f4fadf,title of is,node:eb8e33e21ad8bcff,case,Working Practice,27437
node:f02496fb1c3a429d,is,node:eb8e33e21ad8bcff,title,Working Practice,27437
node:f02496fb1c3a429d,is,node:b8549b51af74a3a1,title,Good Working Practice,27437
node:f02496fb1c3a429d,is,node:606a596c632a0db5,title,Good Practice,27437
node:9e0a3afd66f4fadf,title of is,node:b8549b51af74a3a1,case,Good Working Practice,27437
node:9e0a3afd66f4fadf,title of is,node:9f5a2d4efa86e1fb,case,Practice,27437
node:f02496fb1c3a429d,is,node:9f5a2d4efa86e1fb,title,Practice,27437
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,27437
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,27437
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,27437
node:efb0833c3b6eb969,is,node:0efe3aa51493aa54,specific Business Unit,Services,27437
node:02b2c2d0700811c7,involved in,node:9e0a3afd66f4fadf,Business Unit,case,27437
node:02b2c2d0700811c7,is,node:0efe3aa51493aa54,Business Unit,Services,27437
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,27437
node:5322bd41eb35fa05,is,node:1d74ee50c3e1d200,name,NA,27437
node:d9d10f1dc86defd4,is,node:b5d3ea6b47f3dbe3,case categorization,Equipment Suitability,27437
node:f4fb9429ef1c1c5d,is,node:8dac4b27874f4313,work process,Construction,27437
node:9e0a3afd66f4fadf,was reported on,node:3b7be6df50a572a6,case,2025-03-18,27437
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,27437
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,27437
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,27437
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,27437
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,27437
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,27437
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,27437
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,27437
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,27437
node:2809263c1552cd5a,is,node:12d665538115f553,location code,TFMC366,27437
node:f59c096b3321a5ef,code of is,node:12d665538115f553,incident,TFMC366,27437
node:e7c9bb7484124bcc,med pågår benyttes på utsiden av porten som indikerer at,node:4fcec8b159ee520c,Lys,test pågår,8538
node:e7c9bb7484124bcc,med,node:b447689ec02c8797,Lys,trykktest pågår benyttes på utsiden av porten som indikerer,8538
node:e7c9bb7484124bcc,med,node:633e7bd051b8e954,Lys,pågår benyttes på utsiden av porten som indikerer,8538
node:94894d0480830370,is,node:3a0fe8545bac232e,type,Injury/Illness,8538
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,8538
node:f65bceae9e1f5084,is Probability of,node:3870a30e191483dc,description,event,8538
node:f65bceae9e1f5084,is Probability of,node:f105e53fe5a10f50,description,undesired event,8538
node:f65bceae9e1f5084,is,node:3d73a65ff68270a6,description,Probability,8538
node:9e0a3afd66f4fadf,is,node:89c9e690f63d8de8,case,occur,8538
node:b66ca7b81154bd22,is,node:30b402df5de31446,value,2.0,8538
node:8987dddee8db0aa6,is,node:c5c11887218b0e4c,criticality,4.0,8538
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,8538
node:b66ca7b81154bd22,is,node:30b402df5de31446,value,2.0,8538
node:688608fa38c6d97c,is,node:56ad49b28b1f4b20,mitigated risk color,Green,8538
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,8538
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,8538
node:1dc98cc9a40e5a79,is,node:5cb451a0ffad5dfa,date,2022-06-02 12:57:00.000,8538
node:9e0a3afd66f4fadf,title of is,node:9dd33a90cb4f51e0,case,Test center Hall H,8538
node:f02496fb1c3a429d,is,node:9dd33a90cb4f51e0,title,Test center Hall H,8538
node:539180506d329d00,should,node:02a0acc142e19d07,Sign,should ongoing,8538
node:539180506d329d00,should,node:42d43bbff8e29822,Sign,should wit pressuretest ongoing,8538
node:539180506d329d00,should,node:3115b70604ffcf3f,Sign,should marke wit pressuretest ongoing,8538
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,8538
node:afc97a12f07d4317,is,node:ccf791b80952cc4e,General Business Unit involved,Subsea,8538
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,8538
node:efb0833c3b6eb969,is,node:0efe3aa51493aa54,specific Business Unit,Services,8538
node:02b2c2d0700811c7,involved in,node:9e0a3afd66f4fadf,Business Unit,case,8538
node:02b2c2d0700811c7,is,node:0efe3aa51493aa54,Business Unit,Services,8538
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,8538
node:5322bd41eb35fa05,is,node:a5e8d30551a7cb72,name,Non Project Specific,8538
node:d9d10f1dc86defd4,is,node:781f46fabbbd7ca3,case categorization,Hazard Identification,8538
node:f4fb9429ef1c1c5d,is,node:78fc208a708a21f6,work process,Vessel,8538
node:beef3462beb17905,are Line of,node:e750fd61f3fffbc8,life rules,Fire,8538
node:beef3462beb17905,are,node:5da22bd0f1da454f,life rules,Line,8538
node:ccc83dc829b0c87c,are Line of,node:e750fd61f3fffbc8,life saving rules,Fire,8538
node:ccc83dc829b0c87c,are,node:5da22bd0f1da454f,life saving rules,Line,8538
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,8538
node:9e0a3afd66f4fadf,was reported on,node:1c6ffe009a1fecb6,case,2022-06-02,8538
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,8538
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,8538
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,8538
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,8538
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,8538
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,8538
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,8538
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,8538
node:f59c096b3321a5ef,code of is,node:69e89a8611d3e85c,incident,TFMC084,8538
node:2809263c1552cd5a,is,node:69e89a8611d3e85c,location code,TFMC084,8538
node:31293efe993c24ad,type of is,node:1c1b1bd9d2192d38,impact,Damage,19899
node:94894d0480830370,is,node:1c1b1bd9d2192d38,type,Damage,19899
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,19899
node:94894d0480830370,description of is,node:1d051ddebb2afa7b,type,Frequency,19899
node:f65bceae9e1f5084,is Frequency of,node:f59c096b3321a5ef,description,incident,19899
node:f65bceae9e1f5084,is,node:1d051ddebb2afa7b,description,Frequency,19899
node:9e0a3afd66f4fadf,is,node:a0bc746ddfb69b1b,case,Has occurred,19899
node:9e0a3afd66f4fadf,is,node:193ad9ad8dec6fbf,case,Has occurred in our company,19899
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,19899
node:8987dddee8db0aa6,is,node:498b3797c1ffeb8d,criticality,8.0,19899
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,19899
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,19899
node:1dc98cc9a40e5a79,is,node:8e414dd17d8bfdc5,date,2024-03-14 18:30:00.000,19899
node:f02496fb1c3a429d,is,node:ca025a58cff4e057,title,SWA,19899
node:afc97a12f07d4317,is,node:50ab6bc779fa9600,General Business Unit involved,Surface,19899
node:c6266c80782ca872,involved in,node:9e0a3afd66f4fadf,General Business Unit,case,19899
node:02b2c2d0700811c7,involved in,node:9e0a3afd66f4fadf,Business Unit,case,19899
node:02b2c2d0700811c7,is,node:3f49d0867da0801b,Business Unit,Surface Americas,19899
node:efb0833c3b6eb969,is,node:3f49d0867da0801b,specific Business Unit,Surface Americas,19899
node:efb0833c3b6eb969,involved in,node:9e0a3afd66f4fadf,specific Business Unit,case,19899
node:9e0a3afd66f4fadf,occurred at,node:07c2fc087cd38657,case,workplace,19899
node:5322bd41eb35fa05,is,node:1d74ee50c3e1d200,name,NA,19899
node:9e0a3afd66f4fadf,was reported on,node:a34fc1e54255aeb4,case,2024-03-15,19899
node:9e0a3afd66f4fadf,was,node:e2c8705aee880200,case,reported,19899
node:8045bc4ef3beffa2,is,node:4082fc94e32df0e3,status,Completed,19899
node:fd062c23cbff59ef,was,node:30b402df5de31446,loss potential severity,2.0,19899
node:f59c096b3321a5ef,was,node:a34062f22795c56d,incident,when reported,19899
node:f59c096b3321a5ef,was,node:e2c8705aee880200,incident,reported,19899
node:f59c096b3321a5ef,be,node:f11aa01a8fad5b50,incident,closed,19899
node:3dc2d5f80ef9d4ee,is,node:a5e8d30551a7cb72,operating center,Non Project Specific,19899
node:3dc2d5f80ef9d4ee,corresponding to,node:f59c096b3321a5ef,operating center,incident,19899
node:3dc2d5f80ef9d4ee,corresponding to,node:a0966374f0a560d8,operating center,selected incident,19899
node:2809263c1552cd5a,is,node:8a75cbee01a8c10f,location code,TFMC575,19899
node:f59c096b3321a5ef,code of is,node:8a75cbee01a8c10f,incident,TFMC575,19899
node:fb45a8eea326f469,utilize,node:51a83499598774b1,operator,piece of TPR,402
node:fb45a8eea326f469,utilize piece as,node:53b8397de2d8984f,operator,lifting strap,402
node:fb45a8eea326f469,utilize,node:031413cfccfe530f,operator,piece,402
node:31293efe993c24ad,type of is,node:1c1b1bd9d2192d38,impact,Damage,402
node:94894d0480830370,is,node:1c1b1bd9d2192d38,type,Damage,402
node:1a345cef2abea8d3,is,node:30b402df5de31446,severity value,2.0,402
node:94894d0480830370,description of is,node:1d051ddebb2afa7b,type,Frequency,402
node:f65bceae9e1f5084,is Frequency of,node:f59c096b3321a5ef,description,incident,402
node:f65bceae9e1f5084,is,node:1d051ddebb2afa7b,description,Frequency,402
node:9e0a3afd66f4fadf,is,node:a0bc746ddfb69b1b,case,Has occurred,402
node:9e0a3afd66f4fadf,is,node:193ad9ad8dec6fbf,case,Has occurred in our company,402
node:b66ca7b81154bd22,is,node:67f61e3da5145b1a,value,3.0,402
node:8987dddee8db0aa6,is,node:498b3797c1ffeb8d,criticality,8.0,402
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,402
node:b66ca7b81154bd22,is,node:1c9898c2a5f6f9bf,value,0.0,402
node:688608fa38c6d97c,is,node:56ad49b28b1f4b20,mitigated risk color,Green,402
node:6ad8136021b8f634,is,node:56ad49b28b1f4b20,risk color,Green,402
node:ebd9f7059080901b,is,node:150a24f7bf3f4ae1,system,Intelex,402
node:1dc98cc9a40e5a79,is,node:f9f965e97d750ead,date,2022-02-24 16:00:00.000,402
node:f02496fb1c3a429d,is,node:1bccc1f14b745c90,title,Stop Work Authority ***** Improper use,402
