record_no,stratum,narrative,case_categorization,severity,impact_type,work_process,causal_density,causal_matches,token_count,existing_entities,caused_by_1_cause,caused_by_1_evidence,caused_by_1_confidence,caused_by_2_cause,caused_by_2_evidence,caused_by_2_confidence,contributed_to_1_factor,contributed_to_1_evidence,contributed_to_1_confidence,contributed_to_2_factor,contributed_to_2_evidence,contributed_to_2_confidence,led_to_1_event,led_to_1_outcome,led_to_1_evidence,led_to_1_confidence,led_to_2_event,led_to_2_outcome,led_to_2_evidence,led_to_2_confidence,led_to_3_event,led_to_3_outcome,led_to_3_evidence,led_to_3_confidence,annotator_notes,annotator_id
565957,fire_explosion,"During shifting of gas cutting torch from outside to inside heater cell (into cell no-1) through Peep door, the gas cutting torch tip has been ignited automatically due to falling of welding spatters on torch tip from where the DA was leaking because the DA knob(off / on switch) was unfortunately “on “condition. Then the fire extinguished immediately by closing of DA knob. The area was restricted for unauthorized entry. No injury & no property damage.","Fire & Explosion - Flammable solids, liquids and gases",Environment - 1. Minimal Impact,Environment,Construction,0.02631578947368421,2.0,76.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Mangalore"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""MANGALORE REFINERY & PETROCHEMICALS LTD."", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""gas cutting torch"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""cell no-1"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Peep door"", ""relation"": ""OCCURRED_AT""}]","DA (dissolved acetylene) knob left in the 'on' position, causing gas to leak from the torch tip, which was then ignited by welding spatters",the DA knob(off / on switch) was unfortunately 'on' condition,HIGH,"Welding spatters fell on the leaking torch tip during transfer, providing the ignition source",the gas cutting torch tip has been ignited automatically due to falling of welding spatters on torch tip from where the DA was leaking,HIGH,Torch being moved through a peep door near an active welding area while the gas valve was open,During shifting of gas cutting torch from outside to inside heater cell (into cell no-1) through Peep door,MEDIUM,,,,"DA knob left on, causing gas to leak from the torch tip",Flammable DA gas present at torch tip during transfer through welding area,from where the DA was leaking because the DA knob(off / on switch) was unfortunately 'on' condition,HIGH,Welding spatters fell on the gas-leaking torch tip,Torch tip ignited automatically,the gas cutting torch tip has been ignited automatically due to falling of welding spatters on torch tip,HIGH,,,,,"Two independent but concurrent causes: the open DA valve (fuel source) and the welding spatters (ignition source). Both were required for ignition — neither alone would have caused the incident, making this a classic dual-cause fire triangle scenario. CONTRIBUTED_TO captures the situational proximity to the welding area.",claude-sonnet-4-6
654091,fire_explosion,"Around midnight one of the press heating elements caught fire, which probably happened due to short circuiting of wires for the heating element. Fire extinguisher was used by one of the press operator to put out the fire.",Fire & Explosion - Explosives / potential explosives,Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Other Manufacturing Activities,0.02631578947368421,1.0,38.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Gears Manufacturing"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Houston"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""USA"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""North America"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""TECHNIPFMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Explosives / potential explosives"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""one of the press heating elements"", ""relation"": ""INVOLVED""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""fire extinguisher"", ""relation"": ""INVOLVED""}]","Short circuiting of wires for the heating element, causing the heating element to catch fire",probably happened due to short circuiting of wires for the heating element,LOW,,,,,,,,,,Short circuit of heating element wires,Press heating element caught fire,"one of the press heating elements caught fire, which probably happened due to short circuiting of wires for the heating element",LOW,,,,,,,,,"The word 'probably' in the narrative explicitly qualifies the cause as uncertain — this is the narrative author's own hedging, not an inference gap. Confidence is LOW per the ambiguity rule. The short circuit as root cause is plausible but not confirmed.",claude-sonnet-4-6
513221,fire_explosion,"A team of sublet contractor was doing cutting work in the Final Assembly 200-PAR-011 Deck-E. Sparks from the cutting activity ignited the rug in Deck-D and caused a minor fire, and then the fire was put out immediately.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 1. Negligible,Fire/Explosion,Yard - Spool Base Fabrication,0.02631578947368421,1.0,38.0,"[{""entity_type"": ""LOCATION"", ""value"": ""ALNG2 PJOE Yard"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Penglai"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""China"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""Final Assembly"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""LOCATION"", ""value"": ""Deck-E"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Deck-D"", ""relation"": ""OCCURRED_AT""}]","Sparks from cutting activity ignited a rug on Deck-D, causing a minor fire",Sparks from the cutting activity ignited the rug in Deck-D and caused a minor fire,HIGH,,,,Combustible material (rug) present on Deck-D in proximity to overhead cutting work on Deck-E,Sparks from the cutting activity ignited the rug in Deck-D,MEDIUM,,,,Cutting sparks fell from Deck-E cutting activity to Deck-D below,"Rug in Deck-D ignited, causing a minor fire",Sparks from the cutting activity ignited the rug in Deck-D and caused a minor fire,HIGH,,,,,,,,,Narrative is brief but causal language is explicit. The rug as CONTRIBUTED_TO is MEDIUM because the narrative names it as the direct fuel but doesn't explicitly discuss its placement as a contributing factor — that is a mild inference. No injuries or further escalation noted.,claude-sonnet-4-6
504523,fire_explosion,"Monday morning around 7.50 am, there was an incident reported by WTP L7 office cleaner that the water dispenser had leaked and flooded the office flooring at Level 7 Door 4. _x000D_ _x000D_ Upon investigation, found that wall plug had burnt due to excessive electrical load from shredder machine and water dispenser. Water dispenser's plug had burnt together with the wall plug, and this caused the water dispenser to leak. Shredder's plug was also burnt (refer attached incident report).",Fire & Explosion - Explosives / potential explosives,"Damage - 1. Less than 100,000 Euros",Damage,Support Service,0.02531645569620253,2.0,79.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Kuala Lumpur Office"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Kuala Lumpur"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Malaysia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""TECHNIPFMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Explosives / potential explosives"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""WTP L7"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""water dispenser"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""Level 7 Door 4"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""wall plug"", ""relation"": ""INVOLVED""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""shredder machine"", ""relation"": ""INVOLVED""}]","Excessive electrical load from the shredder machine and water dispenser burnt the wall plug and water dispenser plug, which caused the water dispenser to leak and flood the floor","wall plug had burnt due to excessive electrical load from shredder machine and water dispenser. Water dispenser's plug had burnt together with the wall plug, and this caused the water dispenser to leak",HIGH,,,,Multiple high-draw appliances (shredder and water dispenser) sharing the same wall plug/circuit,excessive electrical load from shredder machine and water dispenser,HIGH,,,,Excessive electrical load from shredder and water dispenser on shared wall plug,Wall plug burnt; water dispenser plug also burnt,wall plug had burnt due to excessive electrical load from shredder machine and water dispenser. Water dispenser's plug had burnt together with the wall plug,HIGH,Water dispenser plug burnt,"Water dispenser leaked, flooding the Level 7 office floor",this caused the water dispenser to leak,HIGH,,,,,"Dual-consequence incident: electrical burn (fire hazard) and water leak (flooding). The investigation finding is clearly stated. The root cause (overloaded circuit) is established by investigation, not directly observed by the initial reporter. The initial report was only the water leak; the electrical cause was discovered on investigation.",claude-sonnet-4-6
707034,fire_explosion,"A fitter performed grinding work in module shop bay 2, the flying sparks ignited the joint of a mistakenly opened gas hose(1.5 meters away) and caused the fire. Surrounding workers immediately closed the gas valve and put out the fire","Fire & Explosion - Flammable solids, liquids and gases",Injury - 1. First Aid Care,Injury,Construction,0.025,1.0,40.0,"[{""entity_type"": ""LOCATION"", ""value"": ""ALNG2 COSCO Yard"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Qidong"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""China"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""ARCTIC LNG 2"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""module shop bay 1"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""Gas hose"", ""relation"": ""INVOLVED""}]",Flying sparks from grinding work ignited an open gas hose,the flying sparks ignited the joint of a mistakenly opened gas hose(1.5 meters away) and caused the fire,HIGH,,,,Gas hose was left open (mistakenly) in proximity to hot-work area,a mistakenly opened gas hose(1.5 meters away),HIGH,,,,Fitter performed grinding work producing flying sparks,Sparks travelled 1.5 metres and ignited the open gas hose joint,the flying sparks ignited the joint of a mistakenly opened gas hose(1.5 meters away) and caused the fire,HIGH,Sparks ignited the open gas hose joint,Fire started; surrounding workers closed the gas valve and extinguished it,Surrounding workers immediately closed the gas valve and put out the fire,HIGH,,,,,Two causal factors: (1) grinding sparks as direct ignition source; (2) mistakenly open gas hose as the fuel/ignition target.,claude-sonnet-4-6
520808,fire_explosion,"A welder from the company 'Nowproject'(Hendryk Koszyk, ID141_x000D_ ) has left his weldingspot (hut), his flame on the torch was still on. This for a period from more than 10 minutes. This incident/near miss could cause a fire on NID","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 3. Significant,Fire/Explosion,Yards,0.025,1.0,40.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Anvers Facility"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Anvers"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Belgium"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Europe"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""Nowproject"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""LOCATION"", ""value"": ""hut"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""torch"", ""relation"": ""INVOLVED""}]",Welder left his welding torch flame on and unattended when departing the welding spot,his flame on the torch was still on. This for a period from more than 10 minutes,HIGH,,,,Welder departed the welding spot without shutting off the torch,"A welder from the company 'Nowproject'(Hendryk Koszyk, ID141) has left his weldingspot (hut), his flame on the torch was still on",HIGH,,,,,,,,,,,,,,,,"Near-miss/hypothetical risk record — narrative states 'could cause a fire on NID', no actual fire occurred.",claude-sonnet-4-6
28118,fire_explosion,"During grinding activities on a PLET, the grinding spark unintentionally directed towards a welding rod package.  This resulted in a minor fire involving the welding rod package.  The fire was contained and quickly extinguished with no injury or any damage to equipment.","Flammable solids, liquids and gases",2 - Minor,Damage - Financial impact,Manufacturing-Welding,0.023809523809523808,1.0,42.0,"[{""entity_type"": ""LOCATION"", ""value"": ""New Maadi Office"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""New Cairo"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Egypt"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Africa"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""PETROJET THE PETROLEUM PROJECTS AND TECHNICAL CONSULTATION CO"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""welding rod package"", ""relation"": ""INVOLVED""}]","Grinding spark was unintentionally directed onto a welding rod package, igniting it",the grinding spark unintentionally directed towards a welding rod package. This resulted in a minor fire involving the welding rod package,HIGH,,,,Combustible welding rod packaging was present within spark travel distance of grinding activity,the grinding spark unintentionally directed towards a welding rod package,MEDIUM,,,,Grinding spark directed toward welding rod package,Minor fire involving the welding rod package,the grinding spark unintentionally directed towards a welding rod package. This resulted in a minor fire involving the welding rod package,HIGH,Minor fire involving the welding rod package,Fire contained and quickly extinguished with no injury or equipment damage,The fire was contained and quickly extinguished with no injury or any damage to equipment,HIGH,,,,,Explicit causal language 'resulted in' confirms HIGH confidence.,claude-sonnet-4-6
540699,fire_explosion,On 27 of May 2017 at 23:53 an automatic fire alarm went off in the canteen 2-7 of the North Camp. OMC dispatcher notified ER team and company management. This was caused by a smoke generated by ignition of the electric oven.,Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction,0.023809523809523808,1.0,42.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""canteen 2-7"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""North Camp"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""OMC"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""ER team"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""company management"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""electric oven"", ""relation"": ""INVOLVED""}]","Ignition of the electric oven generated smoke, triggering the automatic fire alarm",This was caused by a smoke generated by ignition of the electric oven,HIGH,,,,,,,,,,"Electric oven ignited, generating smoke",Automatic fire alarm activated in the canteen,an automatic fire alarm went off in the canteen 2-7 of the North Camp,HIGH,Automatic fire alarm activated,OMC dispatcher notified ER team and company management,OMC dispatcher notified ER team and company management,HIGH,,,,,Explicit causal language 'caused by' gives HIGH confidence.,claude-sonnet-4-6
511910,fire_explosion,"Fitter from PJOE S&P Workshop was doing cutting work. In the process, spark ignited the welding carton underneath his work place in the east side of Final Assembly 300-PAR-005 Deck-C, caused a minor fire, he put out the fire with his co-worker immediately.","Fire & Explosion - Flammable solids, liquids and gases",Fire/Explosion - 1. Negligible,Fire/Explosion,Yard - Spool Base Fabrication,0.023255813953488372,1.0,43.0,"[{""entity_type"": ""LOCATION"", ""value"": ""ALNG2 PJOE Yard"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Penglai"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""China"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""PJOE S&P Workshop"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""welding cart"", ""relation"": ""INVOLVED""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""Final Assembly"", ""relation"": ""REPORTED_BY""}]",Spark from cutting work ignited combustible welding carton under the work area,"spark ignited the welding carton underneath his work place in the east side of Final Assembly 300-PAR-005 Deck-C, caused a minor fire",HIGH,,,,Combustible welding carton present directly underneath the cutting work location,the welding carton underneath his work place,MEDIUM,,,,Spark produced during cutting work,"Spark ignited welding carton beneath the work area, causing a minor fire","spark ignited the welding carton underneath his work place in the east side of Final Assembly 300-PAR-005 Deck-C, caused a minor fire",HIGH,Minor fire started from ignited welding carton,Fitter and co-worker immediately extinguished the fire,he put out the fire with his co-worker immediately,HIGH,,,,,Hot-work spark igniting nearby combustibles.,claude-sonnet-4-6
588756,fire_explosion,"On 23.05.2018 at about 7:30 am at LLC SNEMA-SERVIS camp near Train 2&3 satellite offices an ignition in store container happened. Fire alarm triggered, at 07.35 am, 32 people were evacuated to the muster point. The elimination of smoke was done by firemen of FD JSC Yamal LNG. It was found out that an electrician of SNEMA was performing welding activities without authorization which caused the ignition. As the result of smoke the outside paint of container was damaged. No injured, no damage to property or equipment",Fire & Explosion - Uncontrolled chemical or physical reaction,"Damage - 1. Less than 100,000 Euros",Damage,Construction - Installation,0.022988505747126436,2.0,87.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sabetta Site"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Sabetta"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Russia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""JSC YAMAL LNG"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Uncontrolled chemical or physical reaction"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""LLC SNEMA-SERVIS camp"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Train 2&3 satellite offices"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Muster point"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""FD JSC Yamal LNG"", ""relation"": ""REPORTED_BY""}]","Electrician performed welding activities without authorisation, causing ignition inside a store container",an electrician of SNEMA was performing welding activities without authorization which caused the ignition,HIGH,,,,Welding performed without authorisation — bypass of permit-to-work / hot-work controls,performing welding activities without authorization,HIGH,,,,Unauthorised welding activity caused ignition in store container,Fire alarm triggered and 32 people evacuated to muster point,"Fire alarm triggered, at 07.35 am, 32 people were evacuated to the muster point",HIGH,Fire/smoke in container,Outside paint of container damaged; firemen eliminated the smoke,As the result of smoke the outside paint of container was damaged,HIGH,,,,,Narrative contains internal contradiction on property damage — annotated as written.,claude-sonnet-4-6
718571,fire_explosion,"At the southwest of the Deck C of 1-TMP-004 module, LCJT performed welding for the guardrail installation. The weldingsparks flied to the underneath scaffolding platform, causing an unsealed insulation glue bottle caught fire, the fire was putout by surrounding employees. No one was injured","Fire & Explosion - Flammable solids, liquids and gases",Injury - 1. First Aid Care,Injury,Construction,0.022727272727272728,1.0,44.0,"[{""entity_type"": ""LOCATION"", ""value"": ""ALNG2 COSCO Yard"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Qidong"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""China"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Asia Pacific"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""ARCTIC LNG 2"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""Deck C"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""LCJT"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""weldingsparks"", ""relation"": ""INVOLVED""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""unsealed insulation glue bottle"", ""relation"": ""INVOLVED""}]","Welding sparks flew onto an unsealed insulation glue bottle beneath the scaffolding platform, igniting it","The weldingsparks flied to the underneath scaffolding platform, causing an unsealed insulation glue bottle caught fire",HIGH,,,,Insulation glue bottle was left unsealed in proximity to overhead welding work,an unsealed insulation glue bottle,HIGH,,,,Welding sparks flew downward onto scaffolding platform,Unsealed insulation glue bottle caught fire,"The weldingsparks flied to the underneath scaffolding platform, causing an unsealed insulation glue bottle caught fire",HIGH,Insulation glue bottle caught fire,Surrounding employees extinguished the fire; no injuries,the fire was putout by surrounding employees. No one was injured,HIGH,,,,,,claude-sonnet-4-6
651350,fire_explosion,"Air compressor which was being used for exchanger cell drying purpose after hydro test, suddenly its inside wiring(start-up panel wiring) caught minor fire due to heat. The minor fire extinguished by using fire extinguisher from nearby fire stand. No injury & property got damaged.","Fire & Explosion - Flammable solids, liquids and gases",Financial Impact - 1. No impact on entity/asset figures,Financial Impact,Construction,0.022727272727272728,1.0,44.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Haldia"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""INDIAN OIL CORPORATION LIMITED"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""air compressor"", ""relation"": ""INVOLVED""}, {""entity_type"": ""EQUIPMENT"", ""value"": ""fire extinguisher"", ""relation"": ""INVOLVED""}, {""entity_type"": ""LOCATION"", ""value"": ""nearby fire stand"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""INJURY_TYPE"", ""value"": ""No injury"", ""relation"": ""RESULTED_IN""}, {""entity_type"": ""LOCATION"", ""value"": ""property"", ""relation"": ""OCCURRED_AT""}]",Internal wiring of the air compressor caught fire due to heat build-up,its inside wiring(start-up panel wiring) caught minor fire due to heat,HIGH,,,,,,,,,,Air compressor wiring overheated and caught minor fire,Fire extinguished using a nearby fire extinguisher; no injury or property damage,The minor fire extinguished by using fire extinguisher from nearby fire stand. No injury & property got damaged,HIGH,,,,,,,,,Explicit causal language 'due to heat' gives HIGH confidence. No deeper root cause stated.,claude-sonnet-4-6
732855,fire_explosion,"On Date 19-10-2020 around 04:45pm at Ammonia compressor area,  suddenly smoke was found in welding cable due to overheating as cable was being kept in bundle at one place, immediately the power supply was cut off. There is no personal injury in this incident.","Fire & Explosion - Flammable solids, liquids and gases",Injury - 2. Medical Treatment Injury / Restricted Work Case / Loss of Consciousness,Injury,Construction - Installation,0.022727272727272728,1.0,44.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Sindri"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""India"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""HINDUSTAN URVARAK AND RASAYAN LIMITED"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""LOCATION"", ""value"": ""Ammonia compressor area"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""INJURY_TYPE"", ""value"": ""personal injury"", ""relation"": ""RESULTED_IN""}]","Welding cable overheated because it was kept bundled, causing smoke",smoke was found in welding cable due to overheating as cable was being kept in bundle at one place,HIGH,,,,"Welding cable stored in a bundle, preventing heat dissipation",cable was being kept in bundle at one place,HIGH,,,,"Welding cable bundled and conducting current, generating heat","Cable overheated, producing smoke",smoke was found in welding cable due to overheating as cable was being kept in bundle at one place,HIGH,Smoke detected in bundled welding cable,Power supply was immediately cut off; no personal injury,immediately the power supply was cut off. There is no personal injury in this incident,HIGH,,,,,,claude-sonnet-4-6
712201,fire_explosion,"While checking light towers, I noticed a large amount of Diesel had been spilled while filling the fuel tank and had flooded the bottom o the Light plant.  The exhaust runs through the bottom of the containment and could potentially cause the diesel to ignite.","Fire & Explosion - Flammable solids, liquids and gases",Environment - 4. Major Impact,Environment,Support Service,0.022222222222222223,1.0,45.0,"[{""entity_type"": ""LOCATION"", ""value"": ""Minot Service Base"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""Minot"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""USA"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""LOCATION"", ""value"": ""North America"", ""relation"": ""OCCURRED_AT""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""HESS CORPORATION"", ""relation"": ""REPORTED_BY""}, {""entity_type"": ""ROOT_CAUSE_CATEGORY"", ""value"": ""Flammable solids, liquids and gases"", ""relation"": ""CATEGORIZED_AS""}, {""entity_type"": ""ORGANIZATION"", ""value"": ""light plant"", ""relation"": ""REPORTED_BY""}]",,,,,,,,,,,,,,,,,,,,,,,,,Near-miss / hazardous condition only — no actual ignition occurred. All causal language is conditional ('could potentially cause the diesel to ignite'). No causal relationships annotated per guidelines.,claude-sonnet-4-6
